Date,Time,LogType,CurrentStatus,LatchedStatus,GeneralStatus,ProductNumber,BPMSet,TargetWeight,FullBagCount,TotalDumpWeight,IF5_CurrentStatus,IF5_WarningStatus,IF5_HopperLevel,IF5_TotalBase,IF5_TotalDry,IF5_TotalLIS,IF5_Total,IF5_DryPercent,IF5_OilPercent,IF5_LISPercent,IF5_WC_ConversionFactor
18/06/2021,06:51:29,T,650,650,1,1,50,151,1311,198211,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:52:00,T,650,650,1,1,50,151,1331,201232,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:52:31,T,650,650,1,1,50,151,1351,204404,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:53:02,T,650,650,2,1,50,151,1365,206368,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:53:32,T,650,650,2,1,50,151,1384,209240,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:54:03,T,650,650,1,1,50,151,1405,212563,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:54:34,T,650,650,1,1,50,151,1425,215585,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:55:05,T,650,650,1,1,50,151,1449,219211,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:55:35,T,650,650,1,1,50,151,1464,221480,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:56:06,T,650,650,1,1,50,151,1481,224049,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:56:37,T,650,650,1,1,50,151,1503,227373,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:57:08,T,650,650,1,1,50,151,1520,229942,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:57:39,T,650,650,1,1,50,151,1539,232812,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:58:09,T,650,650,1,1,50,151,1559,235683,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:58:40,T,650,650,2,1,50,151,1576,238252,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:58:42,S,692,12,3,1,50,151,1576,238252,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:58:44,S,190,12,3,1,50,151,1576,238252,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:59:15,T,190,12,3,1,50,151,1576,238252,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:59:19,S,191,12,1,1,50,151,1576,238252,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:59:21,S,650,650,1,1,50,151,1576,238403,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,06:59:52,T,650,650,1,1,50,151,1598,241728,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:00:23,T,650,650,1,1,50,151,1612,243843,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:00:54,T,650,650,1,1,50,151,1631,246715,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:01:24,T,650,650,1,1,50,151,1647,249132,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:01:55,T,650,650,2,1,50,151,1664,251549,0,0,0,0,0,0,0,0,0,0,0
